iter	Logloss
0	0.554493078
1	0.4503666574
2	0.3842242165
3	0.3366242373
4	0.2920494368
5	0.2658179208
6	0.2341090884
7	0.2057777394
8	0.1861438449
9	0.1711768207
10	0.1498165206
11	0.1387377861
12	0.1229381943
13	0.1102833034
14	0.1031947774
15	0.0981541671
16	0.09374303717
17	0.08985481587
18	0.0827684528
19	0.0714677814
20	0.06925754737
21	0.06103276121
22	0.05903882252
23	0.05206454456
24	0.04991915914
25	0.04615307981
26	0.04463682883
27	0.04179665651
28	0.03999805612
29	0.03833419264
30	0.03613380256
31	0.03194961965
32	0.03084631291
33	0.02919488525
34	0.02814638416
35	0.0271528532
36	0.02591703694
37	0.02427285566
38	0.02327137418
39	0.02150482542
40	0.01954161989
41	0.01886921283
42	0.01818699868
43	0.01799159038
44	0.01768475936
45	0.01674534308
46	0.01663765656
47	0.01484728518
48	0.0144175111
49	0.01421693431
50	0.01377051674
51	0.01230876233
52	0.01221947732
53	0.01150052774
54	0.01103769654
55	0.01095892831
56	0.0109057546
57	0.01036413264
58	0.01030657714
59	0.009891426657
60	0.008894731168
61	0.008814067709
62	0.008574934514
63	0.00846915952
64	0.008424841593
65	0.008365241845
66	0.007772897447
67	0.007598305829
68	0.007395226246
69	0.00676274658
70	0.006731405879
71	0.006695499458
72	0.006410931527
73	0.006353954761
74	0.00614965742
75	0.005713606702
76	0.005566139578
77	0.005539046412
78	0.005293002295
79	0.005260074065
80	0.005153029929
81	0.004899896925
82	0.004846148406
83	0.004512517709
84	0.004401978811
85	0.00435824402
86	0.004094846241
87	0.004070375774
88	0.003971256709
89	0.003945278783
90	0.003805941745
91	0.003613633567
92	0.003570149878
93	0.003549915372
94	0.003533979726
95	0.003515522474
96	0.003365410716
97	0.003256908147
98	0.00305621572
99	0.00303129446
100	0.00301541709
101	0.002988680477
102	0.002969416043
103	0.002858461133
104	0.002847118032
105	0.002771791814
106	0.002602407684
107	0.002580930738
108	0.002479351958
109	0.002397365579
110	0.002384830234
111	0.002373139765
112	0.002261411827
113	0.002245157075
114	0.002205328754
115	0.002173850192
116	0.002157532269
117	0.002120039762
118	0.002105073074
119	0.002064493683
120	0.002051507943
121	0.001987432559
122	0.001977072981
123	0.001943227924
124	0.001917326519
125	0.001797123908
126	0.001786557323
127	0.001777288983
128	0.001777288983
129	0.00177728002
130	0.001777266739
131	0.001768739136
132	0.00176008464
133	0.00176008464
134	0.001732703929
135	0.00173270087
136	0.001732690669
137	0.001732684059
138	0.001717028143
139	0.001708080552
140	0.001708080552
141	0.001641297437
142	0.001628425766
143	0.001568175866
144	0.001568175866
145	0.00156115656
146	0.00154775816
147	0.001547745949
148	0.001547745949
149	0.001547736927
150	0.001547736927
151	0.001547736927
152	0.001547734466
153	0.001501808573
154	0.001501800501
155	0.001501786264
156	0.001501774699
157	0.00150177528
158	0.001501768518
159	0.001501766984
160	0.001501766984
161	0.001501749743
162	0.001501749743
163	0.001493195826
164	0.001493195826
165	0.001493185147
166	0.00149318653
167	0.001493180633
168	0.001493177007
169	0.001493177007
170	0.001493176417
171	0.001493170588
172	0.001493158825
173	0.001493155266
174	0.001487750978
175	0.001487743121
176	0.001487743121
177	0.001453764912
178	0.001453760255
179	0.001453754445
180	0.001453754445
181	0.001453747652
182	0.001453744399
183	0.001453737562
184	0.001453722978
185	0.001453713867
186	0.001453701273
187	0.001453686755
188	0.001453686755
189	0.001406716709
190	0.001406716633
191	0.001406716633
192	0.001406701952
193	0.001406699946
194	0.001406691335
195	0.001406691335
196	0.001406666004
197	0.001406662643
198	0.001406651725
199	0.001406640364
200	0.001406640364
201	0.00140662427
202	0.001406620524
203	0.001406620524
204	0.001406611368
205	0.001406601212
206	0.001406600131
207	0.001406600131
208	0.001406591815
209	0.001406591815
210	0.001406583879
211	0.001406578993
212	0.001406571512
213	0.001406571512
214	0.001406568868
215	0.001406568868
216	0.00140656575
217	0.00140656575
218	0.001406549713
219	0.001406549713
220	0.001406541422
221	0.001406534303
222	0.001406526015
223	0.001406522912
224	0.001406522912
225	0.001406522912
226	0.001406512849
227	0.001406490547
228	0.001406478994
229	0.001406478994
230	0.001406474939
231	0.001406469587
232	0.001406469587
233	0.001406469587
234	0.001406458673
235	0.001406458673
236	0.001406452895
237	0.001406453363
238	0.001406445019
239	0.001406443304
240	0.001406437131
241	0.001406427638
242	0.001406418171
243	0.001406404317
244	0.001406394297
245	0.001406381748
246	0.001406374742
247	0.001406374742
248	0.001406372176
249	0.001406372176
250	0.001406372176
251	0.001406359798
252	0.001406359798
253	0.001406359798
254	0.001406359798
255	0.001406359798
256	0.001406348498
257	0.001406340888
258	0.001406340888
259	0.001406340888
260	0.001406340888
261	0.001406340888
262	0.001406340888
263	0.001406340888
264	0.001406340888
265	0.001406340888
266	0.00140633377
267	0.001406325043
268	0.001406325043
269	0.001406313869
270	0.001406313869
271	0.001406307256
272	0.001406307256
273	0.001406307256
274	0.00140630379
275	0.001406295728
276	0.001406284561
277	0.001406284561
278	0.001406284561
279	0.001406260438
280	0.001406260438
281	0.001406260438
282	0.001406248377
283	0.001406234521
284	0.001406234521
285	0.001406234521
286	0.001406211364
287	0.001406211364
288	0.00140619695
289	0.00140619695
290	0.00140619695
291	0.001406181565
292	0.001406169936
293	0.001406156975
294	0.001406156975
295	0.001406146276
296	0.001406131819
297	0.001406131819
298	0.00140611871
299	0.00140611871
